Overall ranking,Year,City,Total percent below poverty,Percent of under age 18 below poverty,Percent of over age 60 below poverty,Percent of white below poverty,Percent of black below poverty,Percetn of Latino below poverty,Percent with BA or higher below poverty,State
413,2016,Spokane Valley city  ,11,14.5,8.4,8.9,N,N,4.7,Washington
414,2016,West Covina city  ,10.8,15.7,6.8,8.1,20.5,10.6,4.6,California
415,2016,Kendall CDP  ,10.8,13.3,11.6,7.2,N,12.3,5.9,Florida
416,2016,Greenville city  ,10.8,7.9,14.3,9.1,17,N,4.3,South Carolina
417,2016,San Jose city  ,10.7,12.6,10.5,6.3,17.6,14.6,4.3,California
418,2016,Bloomington city  ,10.7,8.7,7.4,10.5,22.2,N,5.2,Illinois
419,2016,Auburn city  ,10.7,13.2,3.8,5.9,N,N,4,Washington
420,2016,Edmond city  ,10.6,13,2.1,6.9,N,N,3.6,Oklahoma
421,2016,Burbank city  ,10.5,8.8,13.1,9.4,N,11.9,5,California
422,2016,Chula Vista city  ,10.5,12.2,12.3,9.3,N,10.2,2.9,California
423,2016,Hayward city  ,10.5,14.3,11.4,10.2,12.2,12,4.7,California
424,2016,Renton city  ,10.5,9.6,11.2,9.4,14,N,5.8,Washington
425,2016,Casas Adobes CDP  ,10.4,13.4,7.4,7.1,N,16.3,4.3,Arizona
426,2016,Frederick city  ,10.4,7.5,10.4,8.7,15.3,N,2.9,Maryland
427,2016,Cheektowaga CDP  ,10.4,14.8,8.9,6.1,28.1,N,5,New York
428,2016,Bend city  ,10.4,15.8,8.2,10.2,N,11.9,5.9,Oregon
429,2016,Hillsboro city  ,10.4,14.6,5.1,6.7,N,20.5,3.3,Oregon
430,2016,Fairfield city  ,10.3,17.9,7.7,6.5,17.3,12.9,2.7,California
431,2016,Riverview CDP  ,10.3,13.5,9.5,10.7,N,12.8,5.7,Florida
432,2016,Sioux Falls city  ,10.3,11.3,10.3,6.9,N,24.8,3.7,South Dakota
433,2016,Grand Prairie city  ,10.3,15.6,6.9,8.5,7,13.6,3.2,Texas
434,2016,West Valley City city  ,10.3,15.3,5.7,6.2,N,14.7,3.3,Utah
435,2016,San Leandro city  ,10.2,8.7,14.1,6,14.8,9.5,6.9,California
436,2016,Tustin city  ,10.2,12.4,14.5,11.4,N,9.9,4.6,California
437,2016,Quincy city  ,10.2,14.8,12.7,9.6,N,N,7.2,Massachusetts
438,2016,St. Charles city  ,10.2,15.4,3.2,8.3,N,N,1.7,Missouri
439,2016,Lakewood city  ,10.1,15.1,8.4,7,33.6,9.9,3.8,California
440,2016,San Francisco city  ,10.1,9,11.8,6.7,28.7,12.9,5.2,California
441,2016,Franklin city  ,10.1,15.9,3.3,4.7,N,49.8,3.9,Tennessee
442,2016,Carrollton city  ,10,16.5,4.3,5.2,2.9,17.5,3.9,Texas
443,2016,San Tan Valley CDP  ,9.9,12,7.6,11.5,N,N,8.6,Arizona
444,2016,Silver Spring CDP  ,9.9,11.2,6.1,4.5,11.8,N,3.5,Maryland
445,2016,Surprise city  ,9.7,13.9,4.8,10.2,9.3,9.5,3.3,Arizona
446,2016,Sparks city  ,9.7,14.4,10.5,7.4,N,16.4,3,Nevada
447,2016,Metairie CDP  ,9.6,13.6,6.4,7,20.7,14.8,2.9,Louisiana
448,2016,Beaverton city  ,9.6,14.6,9.1,7.3,N,N,5,Oregon
449,2016,Midland city  ,9.6,11.4,7.2,6,8.6,13.8,1.8,Texas
450,2016,South San Francisco city  ,9.5,11.5,12,18.5,N,10.7,4.7,California
451,2016,Loveland city  ,9.5,15,9.1,9.3,N,N,6.2,Colorado
452,2016,Whittier city  ,9.4,10.7,10.4,6.3,N,9.8,1.7,California
453,2016,Richardson city  ,9.4,14.2,6.1,4.9,23.1,14.4,1.7,Texas
454,2016,Rogers city  ,9.3,8.7,21.3,10.9,N,7.2,3.9,Arkansas
455,2016,Santa Rosa city  ,9.3,10.6,7.3,8.1,N,11.3,6.3,California
456,2016,Coral Springs city  ,9.3,11.9,10.1,6.2,19.9,8.6,3.7,Florida
457,2016,The Hammocks CDP  ,9.3,10,11.7,7.1,N,10.1,6.4,Florida
458,2016,Skokie village  ,9.2,10.8,9.9,8.4,N,N,6.3,Illinois
459,2016,Nashua city  ,9.1,12.8,8.6,8.6,N,N,4.5,New Hampshire
460,2016,Orange city  ,9,10,5.9,7.4,N,9.5,2.9,California
